Zeitstempel,"Weißt du, was True-Crime-Formate sind?",Hast du schon einmal ein True-Crime-Format geschaut oder gehört?,Wie oft schaust du True-Crime-Formate?,Warum schaust du True-Crime-Formate?(mehrfache Auswahl möglich),"Welche Wirkung hat es auf dich, dass True-Crime-Formate auf wahren Fällen beruhen? [Bleibt mir mehr in Erinnerung]","Welche Wirkung hat es auf dich, dass True-Crime-Formate auf wahren Fällen beruhen? [Ich fühle mich den Charakteren näher]","Welche Wirkung hat es auf dich, dass True-Crime-Formate auf wahren Fällen beruhen? [Ich fiebere mehr mit]","Welche Wirkung hat es auf dich, dass True-Crime-Formate auf wahren Fällen beruhen? [Ich habe während des Schauens/Hörens Angst]","Welche Wirkung hat es auf dich, dass True-Crime-Formate auf wahren Fällen beruhen? [Ich habe nach dem Schauen/Hören Angst]","Glaubst du, dir könnten die gleichen Dinge passieren, die in True-Crime gezeigt werden?",Welche True-Crime-Formate schaust oder hörst du? (mehrfache Auswahl möglich),Hältst du das deutsche Rechtssystem für gerecht? ,"Denkst du, du könntest in Deutschland zu Unrecht verurteilt werden?",Sollten Polizisten deiner Meinung nach Body-Cams (Körperkameras) tragen müssen.,Welche Waffen sind deiner Meinung nach für eine*n Streifenpolizist*in angemessen? (mehrfache Auswahl möglich),"Hast du das Gefühl sicherer zu leben, weil es die Polizei in Deutschland gibt?",Wie wichtig ist in deinen Augen die Polizei in Deutschland?,Sind die Strafen in Deutschland bei Gewaltverbrechen zu harmlos?,Sollte die Todesstrafe in Deutschland eingeführt werden?,"Wie fühlst du dich, wenn du abends alleine in einer dir unbekannten Gegend unterwegs bist?","Triffst du Vorkehrungen, wenn du Abends alleine unterwegs bist? (mehrfache Auswahl möglich)","Würdest du auf eigene Faust ermitteln, wenn ... [jemand Müll in deinen Garten wirft]","Würdest du auf eigene Faust ermitteln, wenn ... [dein Auto einen Kratzer hat]","Würdest du auf eigene Faust ermitteln, wenn ... [dein Auto geklaut wurde]","Würdest du auf eigene Faust ermitteln, wenn ... [bei dir eingebrochen wurde]","Würdest du auf eigene Faust ermitteln, wenn ... [du Drohbriefe erhälst]","Würdest du auf eigene Faust ermitteln, wenn ... [dein Kind seit einem Tag verschwunden ist]","Würdest du auf eigene Faust ermitteln, wenn ... [jemand aus deinem engen Umfeld ermordet wurde]","Würdest du auf eigene Faust ermitteln, wenn ... [dein Kind entführt wurde]",Alter,Geschlecht,Berufliche Tätigkeit,Höchster Bildungsabschluss?,Welche Medien konsumierst du? (mehrfache Auswahl möglich),Hattest du schon einmal Kontakt mit der Polizei? (mehrfach Auswahl möglich)
16.03.2022 18:29:08,Ich brauche eine Erklärung,Nein,,,,,,,,,,3,Schon möglich,Ja,"Elektroschocker, Pfefferspray",2,1,Nein,Nein,"Ich fühle mich schon sicher, bin aber besonders aufmerksam","Nein, ich schütze mich nicht besonders",Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,19-25,männlich,Student*in,Fachabitur / Fachhochschulreife,"Social-Media, Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.), Serien bei Streaminganbietern (Netflix, Disney+... etc.)","Ja, als Beschuldigte*r"
16.03.2022 18:31:26,Ja,Ja,Weniger als einmal im Monat,"Zur Unterhaltung, Weil mich die Motive der Verbrecher interessieren, Weil es gerade läuft",stark,schwach,schwach,schwach,schwach,Ja,"Mindhunter, Criminal Minds",4,Unwahrscheinlich,Nein,"Pistolen, Elektroschocker, Schlagstock, Pfefferspray",3,5,Ja,Nein,Ich habe schon meistens Angst,"Ja, ich telefoniere, Ja, ich gebe Freunden bescheid",Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,19-25,weiblich,Student*in,Abitur,"Social-Media, Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.), Serien bei Streaminganbietern (Netflix, Disney+... etc.), Filme bei Streaminganbietern (Netflix, Disney+... etc.), Podcasts, Radio",Nein
16.03.2022 18:31:37,Ja,Nein,,,,,,,,,,4,Unwahrscheinlich,Ja,"Pistolen, Elektroschocker, Schlagstock, Pfefferspray",5,5,Nein,Nein,"Ich fühle mich schon sicher, bin aber besonders aufmerksam","Ja, ich telefoniere, gelegentlich Pfefferspray",Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,19-25,männlich,Auszubildende*r,Abitur,Social-Media,"Ja, als Opfer, Ja, als Beschuldigte*r"
16.03.2022 18:33:01,Ich brauche eine Erklärung,Ja,Ein bis zweimal im Monat,"Zur Unterhaltung, Weil mich die Motive der Verbrecher interessieren, Weil mich die Polizeiarbeit interessiert",stark,mittel,schwach,schwach,schwach,Nein,Mindhunter,4,Schon möglich,Ja,"Pistolen, Elektroschocker, Pfefferspray",3,4,Ja,Nein,"Ich fühle mich schon sicher, bin aber besonders aufmerksam","Nein, ich schütze mich nicht besonders",Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,19-25,männlich,Student*in,Abitur,"Social-Media, Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.), Nachrichten (Bild, Welt... etc.), Serien bei Streaminganbietern (Netflix, Disney+... etc.), Filme bei Streaminganbietern (Netflix, Disney+... etc.), Podcasts","Ja, als Zeug*in"
16.03.2022 18:34:52,Ich brauche eine Erklärung,Nein,,,,,,,,,,4,Ja,Nein,"Pistolen, Elektroschocker, Schlagstock, Pfefferspray",4,3,Ja,Nein,"Ich fühle mich schon sicher, bin aber besonders aufmerksam","Nein, ich schütze mich nicht besonders",Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,19-25,männlich,Auszubildende*r,Abitur,"Social-Media, Serien bei Streaminganbietern (Netflix, Disney+... etc.), Podcasts, Radio","Ja, als Beschuldigte*r"
16.03.2022 18:36:25,Ja,Ja,Ein bis zweimal die Woche,"Zur Unterhaltung, Weil mich die Motive der Verbrecher interessieren, Weil mich die Polizeiarbeit interessiert",mittel,mittel,mittel,Sehr schwach,Sehr schwach,Ja,"Aktenzeichen XY, Menschen und Monster",3,Unwahrscheinlich,Ja,Pistolen,5,5,Ja,Nein,Ich fühle mich gelegentlich unwohl,"Ja, ich gebe Freunden bescheid",Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,19-25,weiblich,Student*in,Abitur,"Social-Media, Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.), Filme bei Streaminganbietern (Netflix, Disney+... etc.)","Ja, als Opfer"
16.03.2022 18:42:25,Ja,Ja,Weniger als einmal im Monat,Zur Unterhaltung,mittel,mittel,stark,Sehr schwach,Sehr schwach,Nein,"Aktenzeichen XY, Mindhunter",3,Schon möglich,Ja,"Pfefferspray, Unbewaffnet",2,3,Nein,Nein,"Ich fühle mich schon sicher, bin aber besonders aufmerksam","Nein, ich schütze mich nicht besonders",Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,19-25,männlich,Student*in,Abitur,"Social-Media, Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.), Serien bei Streaminganbietern (Netflix, Disney+... etc.), Filme bei Streaminganbietern (Netflix, Disney+... etc.)","Ja, als Beschuldigte*r"
16.03.2022 18:51:49,Ja,Ja,Weniger als einmal im Monat,Zur Unterhaltung,mittel,schwach,stark,mittel,mittel,Ja,"Das was mir bei YouTube angezeigt wird, also keine Ahnung",4,Schon möglich,Ja,"Pistolen, Elektroschocker, Schlagstock, Pfefferspray",4,4,Ja,Nein,Ich fühle mich gelegentlich unwohl,"Nein, ich schütze mich nicht besonders",Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,19-25,weiblich,Student*in,Abitur,"Social-Media, Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.), Serien bei Streaminganbietern (Netflix, Disney+... etc.), Filme bei Streaminganbietern (Netflix, Disney+... etc.)",Nein
16.03.2022 19:09:19,Ich brauche eine Erklärung,Nein,,,,,,,,,,4,Schon möglich,Ja,"Pistolen, Elektroschocker, Schlagstock, Pfefferspray",5,5,Ja,Nein,Ich fühle mich gelegentlich unwohl,"Nein, ich schütze mich nicht besonders",Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,19-25,männlich,Student*in,Abitur,"Social-Media, Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.), Nachrichten (Bild, Welt... etc.), Serien bei Streaminganbietern (Netflix, Disney+... etc.), Filme bei Streaminganbietern (Netflix, Disney+... etc.), Podcasts","Ja, als Beschuldigte*r"
16.03.2022 19:32:13,Ja,Nein,,,,,,,,,,3,Ja,Ja,"Pistolen, Elektroschocker, Schlagstock, Pfefferspray",5,5,Nein,Nein,Ich fühle mich sicher,"Nein, ich schütze mich nicht besonders",Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,10-18,männlich,Schüler*in,Fachabitur / Fachhochschulreife,Social-Media,"Ja, beruflich, Nein"
